mesto,ime,izobrazba,sola
#1,Bill Gates,Drop Out,Harvard University
#2,Amancio Ortega,,
#3,Warren Buffett,Bachelor of Arts / Science,"University of Nebraska Lincoln; Master of Science, Columbia University"
#4,Carlos Slim Helu & family,Bachelor of Arts / Science,Universidad Nacional Autonoma de Mexico
#5,Jeff Bezos,Bachelor of Arts / Science,Princeton University
#6,Mark Zuckerberg,Drop Out,Harvard University
#7,Larry Ellison,Drop Out,"University of Chicago; Drop Out, University of Illinois, Urbana-Champaign"
#8,Michael Bloomberg,Bachelor of Arts / Science,"Johns Hopkins University; Master of Business Administration, Harvard Business School"
#9,Charles Koch,Bachelor of Arts / Science,"Massachusetts Institute of Technology; Master of Science, Massachusetts Institute of Technology"
#9,David Koch,Bachelor of Arts / Science,"Massachusetts Institute of Technology; Master of Science, Massachusetts Institute of Technology"
#11,Liliane Bettencourt & family,,
#12,Larry Page,Bachelor of Arts / Science,"University of Michigan; Master of Science, Stanford University"
#13,Sergey Brin,Master of Science,"Stanford University; Bachelor of Arts / Science, University of Maryland, College Park"
#14,Bernard Arnault & family,Bachelor of Arts / Science,Ecole Polytechnique de Paris
#15,Jim Walton,Bachelor of Arts / Science,University of Arkansas
#16,Alice Walton,Bachelor of Arts / Science,Trinity University
#17,S. Robson Walton,Bachelor of Arts / Science,"University of Arkansas; Doctor of Jurisprudence, Columbia University"
#18,Wang Jianlin,Liaoning University,
#19,Jorge Paulo Lemann,Bachelor of Arts / Science,Harvard University
#20,Li Ka-shing,Drop Out,High School
#21,Beate Heister & Karl Albrecht Jr.,,
#22,Sheldon Adelson,Drop Out,City College of New York
#23,George Soros,Bachelor of Arts / Science,London School of Economics
#24,Phil Knight,Bachelor of Arts / Science,"University of Oregon; Master of Business Administration, Stanford Graduate School of Business"
#25,David Thomson & family,Master of Arts,University of Cambridge
#26,Steve Ballmer,Bachelor of Arts / Science,"Harvard University; Drop Out, Stanford University"
#27,"Forrest Mars, Jr.",Bachelor of Arts / Science,"Yale University; Diploma, The Hotchkiss School; Master of Business Administration, Leonard N. Stern School of Business"
#27,Jacqueline Mars,Bachelor of Arts / Science,Bryn Mawr College
#27,John Mars,Bachelor of Arts / Science,"Yale University; Diploma, The Hotchkiss School"
#30,Maria Franca Fissolo & family,,
#31,Lee Shau Kee,,
#32,Stefan Persson,Associate in Arts / Science,University of Stockholm
#33,Jack Ma,Bachelor of Arts / Science,Hangzhou Teacher's Institute
#34,"Theo Albrecht, Jr. & family",,
#35,Michael Dell,Drop Out,The University of Texas at Austin
#36,Mukesh Ambani,Bachelor of Science in Engineering,"University of Bombay; Drop Out, Stanford University"
#37,Leonardo Del Vecchio,,
#38,Susanne Klatten,Master of Business Administration,International Institute for Management and Development
#39,Georg Schaeffler,,
#40,Paul Allen,Drop Out,Washington State University
#41,Prince Alwaleed Bin Talal Alsaud,Bachelor of Arts / Science,"Menlo College; Master of Science, Syracuse University"
#42,Joseph Safra,,
#43,Carl Icahn,Bachelor of Arts / Science,"Princeton University; Drop Out, New York University"
#44,Laurene Powell Jobs & family,Bachelor of Arts / Science,"University of Pennsylvania Wharton School; Master of Business Administration, Stanford Graduate School of Business"
#44,Dilip Shanghvi,Bachelor of Arts / Science,Calcutta University
#46,Ma Huateng,Bachelor of Arts / Science,Shenzhen University
#47,Dieter Schwarz,,
#48,Ray Dalio,Bachelor of Arts / Science,"Long Island University; Master of Business Administration, Harvard Business School"
#48,Stefan Quandt,Associate in Arts / Science,Technical University of Karlsruhe
#50,James Simons,Bachelor of Arts / Science,"Massachusetts Institute of Technology; Doctorate, University of California Berkeley"
#51,Aliko Dangote,Bachelor of Arts / Science,Al-Azhar University
#51,Michael Otto & family,Doctorate,"University of Munich; Doctorate, University of Hamburg"
#53,Len Blavatnik,Bachelor of Arts / Science,"Moscow State University; Master of Science, Columbia University; Master of Business Administration, Harvard Business School"
#54,Donald Bren,Bachelor of Arts / Science,University of Washington
#55,Azim Premji,Bachelor of Arts / Science,Stanford University
#56,Serge Dassault & family,Bachelor of Arts / Science,Ecole Polytechnique
#57,Tadashi Yanai & family,Bachelor of Arts / Science,Waseda University
#58,Cheng Yu-tung,,
#58,Hinduja family,,
#60,Leonid Mikhelson,Bachelor of Arts / Science,Kuybyshev Engineering and Construction Institute
#60,David & Simon Reuben,Sir John Cass College,London
#62,Stefano Pessina,Bachelor of Arts / Science,University of Milan
