mesto,ime,rezidenca,stevilo_otrok,izobrazba
#1,Bill Gates,"Medina, WA",3,"Drop Out, Harvard University"
#2,Amancio Ortega,"La Coruna, Spain",3,
#3,Warren Buffett,"Omaha, NE",3,"Bachelor of Arts / Science, University of Nebraska Lincoln; Master of Science, Columbia University"
#4,Carlos Slim Helu & family,"Mexico City, Mexico",6,"Bachelor of Arts / Science, Universidad Nacional Autonoma de Mexico"
#5,Jeff Bezos,"Seattle, WA",4,"Bachelor of Arts / Science, Princeton University"
#6,Mark Zuckerberg,"Palo Alto, CA",,"Drop Out, Harvard University"
#7,Larry Ellison,"Woodside, CA",2,"Drop Out, University of Chicago; Drop Out, University of Illinois, Urbana-Champaign"
#8,Michael Bloomberg,"New York, NY",2,"Bachelor of Arts / Science, Johns Hopkins University; Master of Business Administration, Harvard Business School"
#9,Charles Koch,"Wichita, KS",2,"Bachelor of Arts / Science, Massachusetts Institute of Technology; Master of Science, Massachusetts Institute of Technology"
#9,David Koch,"New York, NY",3,"Bachelor of Arts / Science, Massachusetts Institute of Technology; Master of Science, Massachusetts Institute of Technology"
#11,Liliane Bettencourt & family,"Paris, France",1,
#12,Larry Page,"Palo Alto, CA",1,"Bachelor of Arts / Science, University of Michigan; Master of Science, Stanford University"
#13,Sergey Brin,"Los Altos, CA",2,"Master of Science, Stanford University; Bachelor of Arts / Science, University of Maryland, College Park"
#14,Bernard Arnault & family,"Paris, France",5,"Bachelor of Arts / Science, Ecole Polytechnique de Paris"
#15,Jim Walton,"Bentonville, AR",4,"Bachelor of Arts / Science, University of Arkansas"
#16,Alice Walton,"Fort Worth, TX",,"Bachelor of Arts / Science, Trinity University"
#17,S. Robson Walton,"Bentonville, AR",3,"Bachelor of Arts / Science, University of Arkansas; Doctor of Jurisprudence, Columbia University"
#18,Wang Jianlin,"Beijing, China",1,Liaoning University
#19,Jorge Paulo Lemann,"zurich, Switzerland",5,"Bachelor of Arts / Science, Harvard University"
#20,Li Ka-shing,"Hong Kong, Hong Kong",2,"Drop Out, High School"
#21,Beate Heister & Karl Albrecht Jr.,,,
#22,Sheldon Adelson,"Las Vegas, NV",5,"Drop Out, City College of New York"
#23,George Soros,"Katonah, NY",5,"Bachelor of Arts / Science, London School of Economics"
#24,Phil Knight,"Hillsboro, OR",3,"Bachelor of Arts / Science, University of Oregon; Master of Business Administration, Stanford Graduate School of Business"
#25,David Thomson & family,"Toronto, Canada",4,"Master of Arts, University of Cambridge"
#26,Steve Ballmer,"Hunts Point, WA",3,"Bachelor of Arts / Science, Harvard University; Drop Out, Stanford University"
#27,"Forrest Mars, Jr.","Big Horn, WY",7,"Bachelor of Arts / Science, Yale University; Diploma, The Hotchkiss School; Master of Business Administration, Leonard N. Stern School of Business"
#27,Jacqueline Mars,"The Plains, VA",3,"Bachelor of Arts / Science, Bryn Mawr College"
#27,John Mars,"Jackson, WY",3,"Bachelor of Arts / Science, Yale University; Diploma, The Hotchkiss School"
#30,Maria Franca Fissolo & family,"Monaco, Monaco",2,
#31,Lee Shau Kee,"Hong Kong, Hong Kong",5,
#32,Stefan Persson,"Stockholm, Sweden",3,"Associate in Arts / Science, University of Stockholm"
#33,Jack Ma,"Hangzhou, China",,"Bachelor of Arts / Science, Hangzhou Teacher's Institute"
#34,"Theo Albrecht, Jr. & family","Mulheim an der Ruhr, Germany",1,
#35,Michael Dell,"Austin, TX",4,"Drop Out, The University of Texas at Austin"
#36,Mukesh Ambani,"Mumbai, India",3,"Bachelor of Science in Engineering, University of Bombay; Drop Out, Stanford University"
#37,Leonardo Del Vecchio,"Milan, Italy",6,
#38,Susanne Klatten,"Bad Homburg, Germany",3,"Master of Business Administration, International Institute for Management and Development"
#39,Georg Schaeffler,"Herzogenaurach, Germany",4,
#40,Paul Allen,"Mercer Island, WA",,"Drop Out, Washington State University"
#41,Prince Alwaleed Bin Talal Alsaud,"Riyadh, Saudi Arabia",2,"Bachelor of Arts / Science, Menlo College; Master of Science, Syracuse University"
#42,Joseph Safra,"Sao Paulo, Brazil",4,
#43,Carl Icahn,"New York, NY",2,"Bachelor of Arts / Science, Princeton University; Drop Out, New York University"
#44,Laurene Powell Jobs & family,"Palo Alto, CA",3,"Bachelor of Arts / Science, University of Pennsylvania Wharton School; Master of Business Administration, Stanford Graduate School of Business"
#44,Dilip Shanghvi,"Mumbai, India",2,"Bachelor of Arts / Science, Calcutta University"
#46,Ma Huateng,"Shenzhen, China",,"Bachelor of Arts / Science, Shenzhen University"
#47,Dieter Schwarz,"Neckarsulm, Germany",2,
#48,Ray Dalio,"Greenwich, CT",4,"Bachelor of Arts / Science, Long Island University; Master of Business Administration, Harvard Business School"
#48,Stefan Quandt,"Frankfurt, Germany",1,"Associate in Arts / Science, Technical University of Karlsruhe"
#50,James Simons,"East Setauket, NY",3,"Bachelor of Arts / Science, Massachusetts Institute of Technology; Doctorate, University of California Berkeley"
#51,Aliko Dangote,"Lagos, Nigeria",3,"Bachelor of Arts / Science, Al-Azhar University"
#51,Michael Otto & family,"Hamburg, Germany",2,"Doctorate, University of Munich; Doctorate, University of Hamburg"
#53,Len Blavatnik,"London, United Kingdom",,"Bachelor of Arts / Science, Moscow State University; Master of Science, Columbia University; Master of Business Administration, Harvard Business School"
#54,Donald Bren,"Newport Beach, CA",7,"Bachelor of Arts / Science, University of Washington"
#55,Azim Premji,"Bangalore, India",2,"Bachelor of Arts / Science, Stanford University"
#56,Serge Dassault & family,"Paris, France",4,"Bachelor of Arts / Science, Ecole Polytechnique"
#57,Tadashi Yanai & family,"Tokyo, Japan",2,"Bachelor of Arts / Science, Waseda University"
#58,Cheng Yu-tung,"Hong Kong, Hong Kong",4,
#58,Hinduja family,"London, United Kingdom",,
#60,Leonid Mikhelson,"Moscow, Russia",1,"Bachelor of Arts / Science, Kuybyshev Engineering and Construction Institute"
#60,David & Simon Reuben,"London, United Kingdom",3,"Sir John Cass College, London"
#62,Stefano Pessina,"Monte Carlo, Monaco",2,"Bachelor of Arts / Science, University of Milan"
#63,Mikhail Fridman,"London, United Kingdom",4,"Bachelor of Arts / Science, Moscow Institute of Steel and Alloys"
#64,Dietrich Mateschitz,"Fuschl am See, Austria",1,"Master of Business Administration, University of Vienna"
#65,Abigail Johnson,"Milton, MA",2,"Bachelor of Arts / Science, Hobart and William Smith; Master of Business Administration, Harvard Business School"
#65,Kjeld Kirk Kristiansen,"Billund, Denmark",3,"Bachelor of Arts / Science, Aarhus Business School; Master of Business Administration, International Institute for Management and Development"
#65,Joseph Lau,"Hong Kong, Hong Kong",5,
#68,Gerald Cavendish Grosvenor & family,"Chester, United Kingdom",4,
#68,Thomas & Raymond Kwok,"Hong Kong, Hong Kong",,
#68,Marcel Herrmann Telles,"Sao Paulo, Brazil",2,"Bachelor of Arts / Science, Universidade Federal do Rio de Janeiro"
#71,Henry Sy & family,"Manila, Philippines",6,"Bachelor of Arts / Science, Far Eastern University"
#72,Steve Cohen,"Greenwich, CT",7,"Bachelor of Arts / Science, University of Pennsylvania Wharton School"
#73,Pallonji Mistry,"Mumbai, India",4,
#73,Hans Rausing,"Wadhurst, United Kingdom",3,
#73,Alisher Usmanov,"Moscow, Russia",,"Master of Laws, Moscow Institute of International Relations; Master, Finance Academy under the Government of the Russian Federation"
#76,Charlene de Carvalho-Heineken & family,"London, United Kingdom",5,"Bachelor of Arts / Science, Rijnlands Lyceum Wassenaar; Doctor of Jurisprudence, University of Leiden"
#77,Charles Ergen,"Denver, CO",5,"Bachelor of Arts / Science, University of Tennessee Knoxville; Master of Business Administration, Wake Forest University School of Business"
#78,Ronald Perelman,"New York, NY",8,"Bachelor of Arts / Science, University of Pennsylvania; Master of Business Administration, Wharton School"
#78,Vladimir Potanin,"Moscow, Russia",4,"Bachelor of Arts / Science, Moscow Institute of International Relations"
#80,Stephen Ross,"New York, NY",4,"Bachelor of Arts / Science, University of Michigan; Doctor of Jurisprudence, Wayne State University; Master of Laws, New York University"
#81,Patrick Soon-Shiong,"Los Angeles, CA",2,"Bachelor of Arts / Science, University of Witwatersrand; Medical Doctor, University of Witwatersrand; Master of Science, University of British Columbia"
